Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E1C38 time date stamp Thu Feb 21 11:34:16 2019
        0.00 version
           1 ordinal base
        489  1DA 00021874 NtRollbackTransaction
        490  1DB 0002188C NtRollforwardTransactionManager
        491  1DC 000218A4 NtSaveKey
        492  1DD 000218BC NtSaveKeyEx
        493  1DE 000218D4 NtSaveMergedKeys
        494  1DF 000218F0 NtSecureConnectPort
        495  1E0 00021908 NtSerializeBoot
        496  1E1 00021920 NtSetBootEntryOrder
        497  1E2 00021938 NtSetBootOptions
        498  1E3 00021950 NtSetContextThread
        499  1E4 00021968 NtSetDebugFilterState
        500  1E5 00021984 NtSetDefaultHardErrorPort
        501  1E6 000219A0 NtSetDefaultLocale
        502  1E7 000219BC NtSetDefaultUILanguage
        503  1E8 000219D8 NtSetDriverEntryOrder
        504  1E9 000219F0 NtSetEaFile
        505  1EA 0001F9F4 NtSetEvent
        506  1EB 0001FCF8 NtSetEventBoostPriority
        507  1EC 00021A08 NtSetHighEventPair
        508  1ED 00021A24 NtSetHighWaitLowEventPair
        509  1EE 00021A40 NtSetInformationDebugObject
        510  1EF 00021A58 NtSetInformationEnlistment
        511  1F0 0001FC68 NtSetInformationFile
        512  1F1 00021A70 NtSetInformationJobObject
        513  1F2 00021A88 NtSetInformationKey
        514  1F3 00020194 NtSetInformationObject
        515  1F4 0001FB58 NtSetInformationProcess
        516  1F5 00021AA0 NtSetInformationResourceManager
        517  1F6 0001F9DC NtSetInformationThread
        518  1F7 00021AB8 NtSetInformationToken
        519  1F8 00021AD0 NtSetInformationTransaction
        520  1F9 00021AE8 NtSetInformationTransactionManager
        521  1FA 00021B00 NtSetInformationWorkerFactory
        522  1FB 00021B18 NtSetIntervalProfile
        523  1FC 00021B34 NtSetIoCompletion
        524  1FD 00021B4C NtSetIoCompletionEx
        525  1FE 00021B64 NtSetLdtEntries
        526  1FF 00021B7C NtSetLowEventPair
        527  200 00021B98 NtSetLowWaitHighEventPair
        528  201 00021BB4 NtSetQuotaInformationFile
        529  202 00021BCC NtSetSecurityObject
        530  203 00021BE4 NtSetSystemEnvironmentValue
        531  204 00021BFC NtSetSystemEnvironmentValueEx
        532  205 00021C14 NtSetSystemInformation
        533  206 00021C2C NtSetSystemPowerState
        534  207 00021C44 NtSetSystemTime
        535  208 00021C60 NtSetThreadExecutionState
        536  209 00020228 NtSetTimer
        537  20A 00021C7C NtSetTimerEx
        538  20B 00021C94 NtSetTimerResolution
        539  20C 00021CB0 NtSetUuidSeed
        540  20D 000201F4 NtSetValueKey
        541  20E 00021CCC NtSetVolumeInformationFile
        542  20F 00021CE4 NtShutdownSystem
        543  210 00021D00 NtShutdownWorkerFactory
        544  211 00021D18 NtSignalAndWaitForSingleObject
        545  212 00021D34 NtSinglePhaseReject
        546  213 00021D4C NtStartProfile
        547  214 00021D68 NtStopProfile
        548  215 00021D84 NtSuspendProcess
        549  216 00021DA0 NtSuspendThread
        550  217 00021DBC NtSystemDebugControl
        551  218 00021DD4 NtTerminateJobObject
        552  219 0001FCE0 NtTerminateProcess
        553  21A 000200B4 NtTerminateThread
        554  21B 00021DF0 NtTestAlert
        555  21C 00021E0C NtThawRegistry
        556  21D 00021E24 NtThawTransactions
        557  21E 00021E3C NtTraceControl
        558  21F 000201C4 NtTraceEvent
        559  220 00021E54 NtTranslateFilePath
        560  221 00021E70 NtUmsThreadYield
        561  222 00021E88 NtUnloadDriver
        563  223 00021EA0 NtUnloadKey
        562  224 00021EB8 NtUnloadKey2
        564  225 00021ED0 NtUnloadKeyEx
        565  226 00021EE8 NtUnlockFile
        566  227 00021F00 NtUnlockVirtualMemory
        567  228 0001FCB0 NtUnmapViewOfSection
        568  229 00021F18 NtVdmControl
